feature,importance,cohort,model,combined_importance,combined_importance_norm
hxgiot,0.0017487203619568,Combined,XGBoost,0.0017487203619568,0.02277312836715014
dmechod,0.0017362397020092,Combined,XGBoost,0.0017362397020092,0.02261059599360621
hxnoonan,0.0017083186476572,Combined,XGBoost,0.0017083186476572,0.022246987398008473
draboat,0.0016620809585495,Combined,XGBoost,0.0016620809585495,0.021644846053767614
hbcab,0.0016613722300829,Combined,XGBoost,0.0016613722300829,0.021635616468124043
txhemagt,0.0016573705208647,Combined,XGBoost,0.0016573705208647,0.0215835032545442
bicaval,0.0016508106677702,Combined,XGBoost,0.0016508106677702,0.02149807600165653
dcmv,0.0016357558137448,Combined,XGBoost,0.0016357558137448,0.02130202057122425
chd_dex,0.0016076874398271,Combined,XGBoost,0.0016076874398271,0.02093649347141414
efind,0.001595790665407,Combined,XGBoost,0.001595790665407,0.02078156488653691
hxcva,0.0015932873731617,Combined,XGBoost,0.0015932873731617,0.020748965165687933
txtcdc,0.0015895771849041,Combined,XGBoost,0.0015895771849041,0.02070064835340923
lscstat,0.0015882339227977,Combined,XGBoost,0.0015882339227977,0.020683155401965837
txhemo,0.0015753885336152,Combined,XGBoost,0.0015753885336152,0.02051587325489246
