feature,importance,cohort,model,combined_importance,importance_xgb,combined_importance_norm
donspecp,0.2946622046889747,Myocardio,CatBoost,0.17798771834633176,0.0029759888323674,0.03526824829694835
hbsag,0.2947116231107219,Myocardio,CatBoost,0.17790339375213535,0.0026910497142555,0.03525153938718037
cpr,0.2912351503567771,Myocardio,CatBoost,0.1767460593649371,0.0050124228771771,0.03502221369600609
txsvcsat,0.2912817575127954,Myocardio,CatBoost,0.17579737119149577,0.0025707917095463,0.03483423123087778
hxdowns,0.2873414218907012,Myocardio,CatBoost,0.17240485313442072,0.0,0.03416200412273546
status_txpl,0.2831589496288053,Myocardio,CatBoost,0.1699355590026976,0.00010047306353605684,0.03367271374155112
txcstat,0.2603729437107548,Myocardio,CatBoost,0.15893521163472354,0.0067786135206767,0.03149299602882959
hxcva,0.2549833750768061,Myocardio,CatBoost,0.15374946085073904,0.0018985895116385,0.03046544003814159
lsnorepi,0.2534678551799438,Myocardio,CatBoost,0.15363476587353103,0.0038851319139119,0.030442713240067167
mthrhiv,0.244405596706592,Myocardio,CatBoost,0.15136454974947608,0.0118029793138022,0.029992870145864953
pacemake,0.2465849369273431,Myocardio,CatBoost,0.14852462042089679,0.0014341456612273,0.029430138438100554
lsldpt,0.2473877806243828,Myocardio,CatBoost,0.14843266837462968,0.0,0.029411918149480132
txnorepi,0.2467586177682263,Myocardio,CatBoost,0.14805517066093576,0.0,0.029337117015886288
lsttperf,0.2385377640653396,Myocardio,CatBoost,0.14498745819803732,0.0046619993970839,0.02872925010321189
lspbnp_r,0.2247124085657456,Myocardio,CatBoost,0.13587008467220507,0.0026065988318943,0.026922643465896665
hxbeckmd,0.224872400472778,Myocardio,CatBoost,0.1349234402836668,0.0,0.02673506597653913
txvldl_r,0.2202758967481496,Myocardio,CatBoost,0.13346577024889128,0.0032505805000038,0.026446228807328102
lsprocm,0.2062991309079525,Myocardio,CatBoost,0.12497026962870009,0.0029769777098215,0.024762846223049043
